ID,Reference,Journal,Year,Main Author,Country,latitude,longitude,OrganicCarbonClassification,controlmean,controlsd,treatmentmean,treatmentsd,controln,treatmentn,Notillageyears,fertilize kgN/ha,monoculture,Layer,layer,Altitude-m,MAT°C,MAP mm,BD,soil types,pH,Texture
1,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,MAOC,8.95,0.54,15.41,1.19,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
2,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,MAOC,11.84,0.92,16.54,1.1,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
3,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,MAOC,11.19,1.05,15.24,0.92,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
4,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,MAOC,9.09,0.76,14.3,0.92,5,5,10,,Yes,20-40,Sub,550,21.92500003,1425,1.820000052,Rhodic Hapludox,7.4,clay
5,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,POC,3.23,0.36,5.62,0.42,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
6,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,POC,3.18,0.36,3.21,0.25,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
7,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,POC,2.41,0.29,2.66,0.2,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
8,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,POC,2.01,0.27,2.49,0.2,5,5,10,,Yes,20-40,Sub,550,21.92500003,1425,1.820000052,Rhodic Hapludox,7.4,clay
9,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,SOC,12.18,2.064530241,21.03,4.429138245,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
10,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,SOC,15.02,2.545914961,19.75,4.15955684,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
11,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,SOC,13.6,2.305222601,17.9,3.769927465,5,5,10,,Yes,0-20,Top,550,21.92500003,1425,1.690000057,Rhodic Hapludox,5.59,clay
12,"Do fallow in the off-season and crop succession promote differences in soil
aggregation in no-tillage systems?",Geoderma,2022,Mariele Monique Honorato Fernandes,Brazil,-21.23472222,-48.28472222,SOC,11.1,1.881468446,16.79,3.53614984,5,5,10,,Yes,20-40,Sub,550,21.92500003,1425,1.820000052,Rhodic Hapludox,7.4,clay
13,"Limited impacts of occasional tillage on dry aggregate size distribution
and soil carbon and nitrogen fractions in semi-arid drylands",International Soil and Water Conservation Research,2024,Wooiklee S. Paye,USA,34.58333333,-103.2,MAOC,6.01,0.26,6.59,0.36,4,4,2,34,No,0-20,Top,1348,13.24999998,241,1.54,,7,clayloam
14,"Limited impacts of occasional tillage on dry aggregate size distribution
and soil carbon and nitrogen fractions in semi-arid drylands",International Soil and Water Conservation Research,2024,Wooiklee S. Paye,USA,34.58333333,-103.2,POC,1.55,0.36,1.41,0.16,4,4,2,34,No,0-20,Top,1348,13.24999998,241,1.54,,7,clayloam
15,"Limited impacts of occasional tillage on dry aggregate size distribution
and soil carbon and nitrogen fractions in semi-arid drylands",International Soil and Water Conservation Research,2024,Wooiklee S. Paye,USA,34.58333333,-103.2,SOC,7.56,1.281432563,8,1.684883783,4,4,2,34,No,0-20,Top,1348,13.24999998,241,1.54,,7,clayloam
16,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,MAOC,5.11,0.19,5.63,0.4,3,3,17,105,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
17,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,MAOC,5.3,0.19,6.46,0.35,3,3,17,180,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
18,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,MAOC,5.9,0.24,7,0.24,3,3,17,210,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
19,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,MAOC,4.62,0.19,4.92,0.24,3,3,17,105,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
20,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,MAOC,5.21,0.19,5.01,0.24,3,3,17,180,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
21,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,MAOC,5.01,0.24,5.52,0.2,3,3,17,210,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
22,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,POC,12.77,0.28,13.59,0.57,3,3,17,105,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
23,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,POC,14.95,0.38,17.07,0.47,3,3,17,180,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
24,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,POC,16.14,0.47,18.7,0.38,3,3,17,210,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
25,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,POC,11.56,0.45,12.79,0.45,3,3,17,105,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
26,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,POC,12.27,0.45,15.71,0.45,3,3,17,180,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
27,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,POC,13.12,0.68,16.95,0.45,3,3,17,210,Yes,0-20,Top,1137,7.733333411,400,1.2,Calcaric-Fluvic Cambisols ,,clayloam
28,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,SOC,17.88,3.030689713,19.22,4.047933289,3,3,17,105,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
29,"Nitrogen addition mediates the effect of soil microbial
diversity on microbial carbon use efficiency under long term tillage practices",Land Degradation & Development,2022,Mengni Zhang,CHINA,37.97,113.11,SOC,20.25,3.432408652,23.53,4.955664427,3,3,17,180,Yes,0-20,Top,1137,7.733333411,400,1.06,Calcaric-Fluvic Cambisols ,,clayloam
